"Plot6"
"Time (sec)","Angular Velocity6 (deg/sec)"
0,0
0.04,1.43999999933862
0.08,2.87999999966009
0.12,4.32000000030046
0.16,5.75999999989924
0.2,7.20000000026044
0.24,8.64000000061756
0.28,10.0800000005558
0.32,11.5200000003602
0.36,12.9599999990872
0.4,14.400000000192
0.44,15.8400000001621
0.48,17.2799999996905
0.52,18.7200000003744
0.56,20.1600000014344
0.6,21.6000000000632
0.64,23.0399999994263
0.68,24.4800000004813
0.72,25.9200000003467
0.76,27.3600000011457
0.8,28.8000000000745
0.84,30.2400000007
0.88,31.680000000412
0.92,33.1200000018855
0.96,34.5600000000752
1,36.0000000005173
1.04,37.4400000003441
1.08,38.880000000308
1.12,40.3200000006251
1.16,41.7600000008063
1.2,43.1999999997212
1.24,44.6400000004024
1.28,46.0800000011636
1.32,47.5199999963653
1.36,48.9599999924802
1.4,50.4000000015962
1.44,51.8399999992751
1.48,53.280000003314
1.52,54.7199999998048
1.56,56.1600000009715
1.6,57.6000000011578
1.64,59.0400000011422
1.68,60.4800000005419
1.72,61.9200000013983
1.76,63.3600000021575
1.8,64.8000000022981
1.84,66.2400000015774
1.88,67.680000003332
1.92,69.1200000015654
1.96,70.5600000010244
2,72.0000000018168
2.04,73.4400000012065
2.08,74.880000003254
2.12,76.3200000010736
2.16,77.760000001831
2.2,79.2000000019815
2.24,80.6400000013752
2.28,82.0800000020646
2.32,83.5200000019388
2.36,84.9600000010827
2.4,86.400000000489
2.44,87.8400000011866
2.48,89.2485462453692
2.52,89.8247692422639
2.56,89.9151252687461
2.6,89.9529270292396
2.64,89.9851540531972
2.68,90.0000000016344
2.72,90.0000000007475
2.76,89.9999999996962
2.8,90.0000000009881
2.84,90.0000000010988
2.88,90.0000000004198
2.92,90.0000000004574
2.96,89.9999999997212
3,89.9999999994923
3.04,89.9999999997641
3.08,89.999999999802
3.12,90.0000000000769
3.16,89.9999999986807
3.2,89.9999999988979
3.24,89.9999999984467
3.28,89.9999999986482
3.32,90.0000000017824
3.36,89.9999999989138
3.4,89.9999999986693
3.44,89.9999999987003
3.48,89.9999999987866
3.52,89.9999999989425
3.56,89.9999999978152
3.6,89.9999999987085
3.64,89.9999999987143
3.68,89.9999999982116
3.72,89.9999999981107
3.76,89.9999999978837
3.8,89.9999999970545
3.84,89.9999999993652
3.88,89.9999999970932
3.92,89.9999999970618
3.96,89.9999999988276
4,89.9999999976091
4.04,89.9999999967623
4.08,89.9999999992008
4.12,89.9999999974971
4.16,89.9999999963928
4.2,89.999999998046
4.24,89.9999999984662
4.28,89.9999999983251
4.32,89.9999999985022
4.36,89.9999999976257
4.4,89.9999999989391
4.44,89.999999998176
4.48,89.9999999973065
4.52,89.999999999851
4.56,90.0000000024827
4.6,89.9999999988424
4.64,89.999999999592
4.68,89.9999999992138
4.72,89.9999999990316
4.76,89.9999999999782
4.8,89.9999999985103
4.84,90.000000000219
4.88,89.9999999997811
4.92,90.0000000019054
4.96,89.9999999991056
5,90.0000000004332
5.04,90.0000000008242
5.08,89.999999999156
5.12,90.0000000004269
5.16,90.0000000013731
5.2,90.0000000000588
5.24,90.0000000007694
5.28,90.0000000021217
5.32,90.0000000002754
5.36,90.0000000003858
5.4,90.0000000025015
5.44,90.0000000007363
5.48,90.0000000013219
5.52,90.00000000216
5.56,90.0000000013188
5.6,90.0000000012223
5.64,90.0000000028859
5.68,90.0000000013663
5.72,90.000000001167
5.76,90.0000000026914
5.8,90.0000000009179
5.84,90.0000000022724
5.88,90.0000000022993
5.92,90.0000000017186
5.96,90.0000000016526
6,90.0000000014951
6.04,90.0000000014011
6.08,90.0000000018432
6.12,90.0000000017911
6.16,90.0000000020871
6.2,90.0000000016556
6.24,90.0000000018401
6.28,90.0000000015366
6.32,90.0000000015115
6.36,90.0000000018364
6.4,90.0000000017397
6.44,90.0000000016409
6.48,90.0000000016301
6.52,90.0000000014817
6.56,90.0000000013808
6.6,90.0000000009161
6.64000000000001,90.0000000015635
6.68000000000001,90.0000000012696
6.72000000000001,90.0000000009046
6.76000000000001,90.0000000005118
6.80000000000001,90.000000000152
6.84000000000001,90.0000000002834
6.88000000000001,90.000000000247
6.92000000000001,89.999999999919
6.96000000000001,89.9999999999586
7.00000000000001,90.0000000000028
7.04000000000001,89.9999999995918
7.08000000000001,89.9999999993066
7.12000000000001,89.9999999993075
7.16000000000001,89.9999999993751
7.20000000000001,89.9999999992795
7.24000000000001,89.9999999990897
7.28000000000001,89.9999999990908
7.32000000000001,89.9999999989046
7.36000000000001,89.9999999985418
7.40000000000001,89.9999999986695
7.44000000000001,89.9999999978785
7.48000000000001,89.9999999991163
7.52000000000001,89.9999999994069
7.56000000000001,89.9999999955384
7.60000000000001,89.9999999985435
7.64000000000001,89.9999999977807
7.68000000000001,89.9999999974894
7.72000000000001,89.9999999979359
7.76000000000001,89.9999999976722
7.80000000000001,89.999999997289
7.84000000000001,89.9999999981452
7.88000000000001,89.9999999967009
7.92000000000001,89.9999999974106
7.96000000000001,89.9999999958816
8.00000000000001,89.9999999980706
8.04,89.999999997973
8.08,89.9999999979272
8.12,89.9999999997133
8.16,89.9999999976461
8.2,89.9999999973566
8.24,89.9999999975002
8.28,89.9999999975778
8.32,89.999999997337
8.36,89.999999999382
8.4,89.9999999981329
8.44,89.9999999984829
8.48,89.999999997426
8.51999999999999,89.9999999988572
8.55999999999999,89.99999999826
8.59999999999999,89.9999999993635
8.63999999999999,89.9999999983152
8.67999999999999,90.0000000004488
8.71999999999999,89.9999999989563
8.75999999999999,89.9999999996449
8.79999999999999,89.9999999988618
8.83999999999999,90.0000000000984
8.87999999999999,89.9999999987128
8.91999999999999,90.0000000001232
8.95999999999998,89.9999999995568
8.99999999999998,89.9999999998717
9.03999999999998,89.9999999999496
9.07999999999998,90.0000000005142
9.11999999999998,90.0000000003465
9.15999999999998,90.0000000014629
9.19999999999998,89.9999999990633
9.23999999999998,90.0000000014082
9.27999999999998,89.9999999996533
9.31999999999998,90.0000000001838
9.35999999999998,90.0000000008528
9.39999999999998,90.0000000017537
9.43999999999997,90.0000000007401
9.47999999999997,90.0000000008652
9.51999999999997,90.0000000023378
9.55999999999997,90.0000000015964
9.59999999999997,90.0000000001917
9.63999999999997,90.0000000029209
9.67999999999997,90.0000000004367
9.71999999999997,90.0000000026293
9.75999999999997,90.0000000012634
9.79999999999997,90.0000000034189
9.83999999999997,90.0000000015579
9.87999999999997,90.0000000009146
9.91999999999996,90.0000000014008
9.95999999999996,90.000000003112
9.99999999999996,90.0000000013263
10.04,90.0000000028898
10.08,90.0000000004642
10.12,90.0000000013065
10.16,90.0000000016219
10.2,90.00000000295
10.24,90.0000000002456
10.28,90.0000000034032
10.32,90.0000000008979
10.36,90.0000000026987
10.4,90.0000000011836
10.44,90.000000001604
10.48,90.0000000018912
10.52,90.0000000017949
10.56,90.0000000012443
10.5999999999999,90.0000000014577
10.6399999999999,90.0000000008626
10.6799999999999,90.000000001349
10.7199999999999,90.0000000010417
10.7599999999999,90.0000000006333
10.7999999999999,90.000000000539
10.8399999999999,90.0000000005445
10.8799999999999,90.0000000002677
10.9199999999999,90.0000000001678
10.9599999999999,90.0000000000212
10.9999999999999,89.9999999999822
11.0399999999999,89.9999999994222
11.0799999999999,89.9999999995538
